emdb_id,resolution,fitted_pdbs
EMD-64988,3.01,9vdm
EMD-47802,2.68,9e9s
EMD-51416,2.32,9gkb
EMD-54523,3.0,9s35
EMD-47950,2.89,9ee5
EMD-70312,2.48,9oce
EMD-49046,3.4,9n62
EMD-46727,2.9,9dbx
EMD-61320,2.3,9jbn
EMD-61270,3.13,9j9f
EMD-49050,3.2,9n66
EMD-54524,3.4,9s36
EMD-52288,3.1,9hm7
EMD-70793,2.61,9os5
EMD-52290,3.3,9hma
EMD-62439,2.47,9kmn
EMD-62194,2.61,9k9n
EMD-64143,2.96,9ugq
EMD-52580,3.0,9i2b
EMD-44445,2.44,9bd7
EMD-61289,3.15,9ja3
EMD-61984,3.1,9k1y
EMD-53916,2.8,9rcc
EMD-64986,2.18,9vdk
EMD-52307,2.96,9hn5
EMD-44444,2.58,9bd6
EMD-64987,2.31,9vdl
EMD-61238,3.3,9j8q
EMD-52303,2.8,9hn0
EMD-53428,3.1,9qwu
EMD-49047,3.1,9n63
EMD-62491,3.25,9kpt
EMD-50011,3.05,9evs
EMD-48301,3.3,9mir
EMD-61866,3.38,9jxk
EMD-44725,3.43,9bne
EMD-47345,2.4,9e01
EMD-61867,3.23,9jxl
EMD-44192,2.2,9b4z
EMD-52200,3.28,9his
EMD-52840,3.09,9if4
EMD-47552,2.3,9e67
EMD-43839,2.45,9au0
EMD-47551,2.8,9e66
EMD-49093,2.5,9n7e
EMD-72122,1.74,9q1b
EMD-47549,3.0,9e64
EMD-71284,2.08,9p4v
EMD-48165,3.4,9md2
EMD-51331,3.25,9ggg
EMD-63221,2.88,9lmq
EMD-48306,1.9,9mj1
EMD-48166,2.9,9md3
EMD-51324,3.26,9gg5
EMD-47550,2.8,9e65
EMD-48303,2.02,9miv
EMD-52197,3.31,9hip
EMD-49092,2.5,9n7d
EMD-61941,2.83,9k07
EMD-48275,2.01,9mhe
EMD-70476,3.2,9ogu
EMD-48167,2.7,9md4
EMD-44265,2.33,9b6l
EMD-71285,2.29,9p4w
EMD-70475,3.0,9ogt
EMD-48169,2.7,9md6
EMD-46554,2.65,9d49
EMD-61864,3.31,9jxi
EMD-61868,3.48,9jxm
EMD-44724,3.19,9bnd
EMD-72124,1.75,9q1d
EMD-44726,3.33,9bnf
EMD-48307,2.58,9mj2
EMD-48168,2.9,9md5
EMD-63625,2.82,9m4f
EMD-44193,2.7,9b50
EMD-61865,3.22,9jxj
EMD-47548,2.3,9e63
EMD-65045,2.55,9vg7
EMD-61863,3.15,9jxh
EMD-47547,2.5,9e62
EMD-44194,2.4,9b51
EMD-52209,3.46,9hj3
EMD-51567,3.14,9gtu
EMD-49231,3.4,9nbl
EMD-61970,3.34,9k1b
EMD-61152,2.25,9j5u
EMD-46553,2.66,9d48
EMD-61976,2.92,9k1i
EMD-60693,3.22,9imm
EMD-61975,3.12,9k1h
EMD-46552,2.62,9d47
EMD-71718,2.8,9pln
EMD-49234,3.0,9nbo
EMD-52207,2.6,9hj0
EMD-63652,3.21,9m5x
EMD-19585,2.52,8ry3
EMD-65143,3.49,9vku
EMD-61159,2.76,9j62
EMD-61985,3.27,9k1z
EMD-48065,3.2,9ehs
EMD-51367,3.0,9gi1
EMD-63650,2.74,9m5u
EMD-71783,3.29,9pqd
EMD-51765,3.07,9h1g
EMD-70428,3.17,9ofc
EMD-61170,2.8,9j6g
EMD-46483,2.6,9d26
EMD-64997,2.7,9vec
EMD-61949,2.95,9k0o
EMD-48284,3.23,9mi3
EMD-52205,2.6,9hix
EMD-61983,3.06,9k1x
EMD-19593,2.84,8ryb
EMD-52640,2.7,9i5v
EMD-61943,3.06,9k0c
EMD-48552,2.65,9mr4
EMD-61948,3.21,9k0n
EMD-51770,2.95,9h1q
EMD-19587,2.48,8ry5
EMD-65181,3.46,9vma
EMD-51785,3.07,9h1y
EMD-70430,2.68,9ofe
EMD-51290,3.35,9ge5
EMD-60865,3.4,9ith
EMD-60867,2.92,9iti
EMD-52641,3.0,9i5x
EMD-46649,2.9,9d8v
EMD-61987,3.45,9k21
EMD-61974,3.43,9k1f
EMD-61981,2.94,9k1v
EMD-70422,2.68,9ofb
EMD-70429,2.86,9ofd
EMD-60854,2.03,9it2
EMD-46555,2.61,9d4a
EMD-52206,2.3,9hiy
EMD-70417,2.7,9of1
EMD-49237,3.0,9nbw
EMD-51307,3.47,9gev
EMD-62589,3.44,9kvd
EMD-52635,2.6,9i5t
EMD-61519,2.79,9jj8
EMD-63066,2.86,9lgi
EMD-63171,3.4,9lk8
EMD-47302,2.74,9dyf
EMD-52309,3.1,9hn9
EMD-49291,3.4,9ne0
EMD-49326,3.2,9nel
EMD-48586,2.7,9mse
EMD-70109,2.53,9o4o
EMD-46043,2.75,9cyg
EMD-48110,2.06,9ejz
EMD-48588,2.7,9msg
EMD-48671,2.2,9mvu
EMD-47301,2.9,9dye
EMD-46489,3.08,9d2b
EMD-53941,3.3,9rfu
EMD-53947,3.2,9rgb
EMD-61048,3.15,9j04
EMD-62261,3.1,9kcu
EMD-63105,3.0,9lht
EMD-61115,3.0,9j3e
EMD-45875,3.07,9crq
EMD-71063,2.2,9p01
EMD-61191,3.47,9j72
EMD-52308,2.9,9hn7
EMD-47300,2.96,9dyd
EMD-46041,2.7,9cye
EMD-45939,3.4,9cur
EMD-48677,2.1,9mw5
EMD-71064,3.06,9p02
EMD-51894,3.21,9h61
EMD-48730,2.3,9my8
EMD-51895,3.43,9h62
EMD-71066,2.76,9p07
EMD-45940,3.1,9cus
EMD-43752,3.2,8w2n
EMD-60984,2.0,9iy4
EMD-70264,2.5,9o9v
EMD-46505,3.22,9d2z
EMD-48102,2.29,9ejf
EMD-48164,3.03,9md1
EMD-70108,2.48,9o4n
EMD-46044,2.47,9cyh
EMD-61108,3.3,9j37
EMD-39365,2.9,8ykd
EMD-46042,2.86,9cyf
EMD-49306,3.2,9nee
EMD-43594,3.1,8vwq
EMD-51229,3.43,9gcg
EMD-60983,2.17,9iy3
EMD-70111,2.76,9o4q
EMD-70961,2.85,9ox9
EMD-51896,2.88,9h63
EMD-70485,2.2,9oh9
EMD-48093,3.35,9eit
EMD-46045,3.2,9cyi
EMD-46046,2.97,9cyj
EMD-45874,3.2,9crp
EMD-70110,2.55,9o4p
EMD-63442,3.41,9lwf
EMD-48590,3.1,9msj
EMD-62298,3.1,9kfj
EMD-48589,2.8,9msh
EMD-48587,2.6,9msf
EMD-45938,3.4,9cup
EMD-46466,3.1,9d0y
EMD-48523,3.3,9mqg
EMD-71458,3.45,9pb9
EMD-45461,2.18,9cd3
EMD-70554,3.29,9ok5
EMD-45967,3.3,9cwm
EMD-48717,2.1,9mxl
EMD-47902,3.07,9ec8
EMD-61522,2.68,9jjb
EMD-45567,2.96,9cg3
EMD-44967,2.88,9bwd
EMD-45396,2.96,9cam
EMD-45536,3.47,9cfc
EMD-61814,3.3,9jto
EMD-47380,2.86,9e11
EMD-39010,2.65,8y72
EMD-53680,3.1,9r6p
EMD-45036,3.03,9byk
EMD-61748,2.84,9jr9
EMD-51210,2.7,9gbc
EMD-52870,3.16,9ihf
EMD-45401,3.02,9car
EMD-48415,2.65,9mn7
EMD-48417,2.74,9mn9
EMD-51549,3.39,9gsi
EMD-48332,3.21,9mko
EMD-51296,2.79,9geo
EMD-46063,1.91,9cz8
EMD-51965,3.2,9h9i
EMD-45038,3.11,9bym
EMD-48248,2.1,9mgb
EMD-70547,2.95,9ojr
EMD-52866,2.95,9ihe
EMD-45398,3.14,9cao
EMD-45974,3.44,9cwt
EMD-51968,3.2,9h9l
EMD-51547,2.83,9gsg
EMD-51548,3.13,9gsh
EMD-46055,1.86,9cz0
EMD-70548,2.97,9oju
EMD-51970,3.1,9h9n
EMD-45479,3.47,9cdn
EMD-47379,2.71,9e10
EMD-51297,2.89,9gep
EMD-70148,2.75,9o5u
EMD-51546,3.35,9gsf
EMD-46064,2.43,9cz9
EMD-19452,3.35,8rr0
EMD-51301,3.12,9geq
EMD-45533,3.46,9cf8
EMD-39011,2.84,8y73
EMD-61520,2.71,9jj9
EMD-51819,3.47,9h3f
EMD-61813,3.1,9jtn
EMD-61725,2.15,9jqa
EMD-51966,3.2,9h9j
EMD-47378,2.86,9e0z
EMD-45463,3.2,9cd6
EMD-51969,3.1,9h9m
EMD-61812,2.9,9jtm
EMD-51544,3.04,9gsd
EMD-45462,2.3,9cd4
EMD-63834,2.99,9u48
EMD-61026,3.3,9iz9
EMD-70156,1.68,9o61
EMD-45012,3.0,9bxu
EMD-51936,2.09,9h8g
EMD-70550,3.39,9ojz
EMD-53685,3.3,9r6r
EMD-48414,2.71,9mn6
EMD-47269,3.3,9dww
EMD-48416,2.69,9mn8
EMD-71600,3.09,9pff
EMD-52865,2.97,9ihd
EMD-45013,2.9,9bxv
EMD-48716,3.49,9mxj
EMD-71475,3.47,9pba
EMD-61811,3.4,9jtl
EMD-70157,2.03,9o62
EMD-45998,2.3,9cxu
EMD-45997,3.4,9cxt
EMD-43567,3.1,8vvs
EMD-47426,3.1,9e21
EMD-43564,2.9,8vvp
EMD-51115,3.11,9g78
EMD-47071,3.45,9do2
EMD-71389,2.56,9p8u
EMD-51107,3.13,9g70
EMD-61688,2.5,9jox
EMD-51095,3.32,9g62
EMD-47024,3.24,9dn2
EMD-71390,2.59,9p8v
EMD-43566,3.1,8vvr
EMD-71259,3.3,9p3y
EMD-70098,2.24,9o4f
EMD-48676,3.37,9mw0
EMD-43549,3.4,8vv4
EMD-51101,2.2,9g6g
EMD-51090,3.28,9g5r
EMD-48329,3.2,9mkk
EMD-51117,2.12,9g7a
EMD-71719,2.74,9plo
EMD-47366,2.3,9e0q
EMD-60907,2.78,9iuj
EMD-60971,2.92,9ixj
EMD-51118,2.18,9g7b
EMD-71241,2.35,9p3i
EMD-44341,3.2,9b8b
EMD-51102,2.2,9g6h
EMD-71288,2.76,9p4x
EMD-43547,2.6,8vv2
EMD-61488,3.0,9jhn
EMD-61687,2.48,9jow
EMD-51727,3.4,9gzm
EMD-51089,2.61,9g5q
EMD-70469,3.1,9ogl
EMD-71289,2.56,9p4y
EMD-48675,2.81,9mvz
EMD-51100,2.2,9g6f
EMD-62479,2.8,9kor
EMD-48112,2.35,9ek8
EMD-71290,2.83,9p4z
EMD-44342,3.3,9b8c
EMD-48706,3.35,9mx0
EMD-61685,2.46,9jou
EMD-43535,3.4,8vup
EMD-43568,2.9,8vvt
EMD-43570,3.1,8vvv
EMD-43565,2.7,8vvq
EMD-61485,3.42,9jhk
EMD-47929,2.8,9ed0
EMD-51099,2.6,9g6e
EMD-47275,2.35,9dwz
EMD-51082,2.48,9g57
EMD-61486,2.86,9jhl
EMD-51094,3.4,9g60
EMD-51377,2.8,9giu
EMD-63976,2.83,9ua2
EMD-60747,2.7,9iot
EMD-52621,2.79,9i4x
EMD-61686,2.27,9jov
EMD-53854,3.1,9r96
EMD-61476,3.42,9jh9
EMD-52810,2.5,9ibh
EMD-51097,1.8,9g6c
EMD-61487,3.2,9jhm
EMD-51098,2.7,9g6d
EMD-51067,2.51,9g4t
EMD-71388,2.65,9p8t
EMD-71386,2.37,9p8s
EMD-48351,2.24,9mla
EMD-52213,3.35,9hjd
EMD-51078,3.04,9g55
EMD-50996,3.14,9g3e
EMD-53519,2.56,9r21
EMD-53991,3.2,9ria
EMD-70238,2.8,9o8u
EMD-60840,2.81,9iso
EMD-53520,2.48,9r22
EMD-53521,2.81,9r23
EMD-49383,3.4,9ngf
EMD-65082,2.26,9vib
EMD-46597,3.1,9d6l
EMD-70104,2.76,9o4k
EMD-70510,2.81,9oi8
EMD-47689,2.8,9e7t
EMD-71303,2.74,9p6b
EMD-50997,3.36,9g3f
EMD-65083,2.45,9vic
EMD-45797,2.94,9cp2
EMD-43387,3.4,8voo
EMD-70103,3.06,9o4j
EMD-61816,3.36,9jts
EMD-45411,3.1,9cb0
EMD-70124,2.88,9o55
EMD-60898,3.3,9iue
EMD-45798,2.94,9cp3
EMD-61730,3.03,9jqn
EMD-53990,2.85,9ri9
EMD-50974,2.5,9g2e
EMD-60228,2.89,8zll
EMD-60832,3.32,9is6
EMD-50994,3.24,9g3d
EMD-45796,2.97,9cp1
EMD-50998,3.07,9g3g
EMD-49676,3.16,9nqu
EMD-38781,2.8,8xyq
EMD-65085,2.38,9vie
EMD-50973,2.7,9g2d
EMD-61715,3.25,9jpu
EMD-51901,3.27,9h6u
EMD-50852,2.25,9fxo
EMD-65084,2.22,9vid
EMD-61817,3.43,9jtu
EMD-38782,2.8,8xyx
EMD-38780,2.54,8xyp
EMD-52437,2.71,9hvl
EMD-61717,2.95,9jpx
EMD-52745,2.89,9i8y
EMD-47363,3.24,9e0n
EMD-45361,2.91,9c9g
EMD-61285,2.97,9j9z
EMD-54012,2.59,9rjs
EMD-48919,2.96,9n5a
EMD-53295,2.8,9qqa
EMD-50892,3.3,9fyx
EMD-53296,3.43,9qqb
EMD-46984,3.37,9dls
EMD-53127,3.3,9qg1
EMD-52625,2.72,9i54
EMD-52990,3.4,9qb8
EMD-62459,3.0,9knq
EMD-61386,3.23,9jda
EMD-62467,3.0,9knz
EMD-48601,3.0,9mt6
EMD-61380,3.26,9jd4
EMD-48553,3.13,9mr5
EMD-47293,2.6,9dxo
EMD-62463,3.3,9knv
EMD-62145,3.11,9k75
EMD-61392,3.23,9jdg
EMD-71309,2.75,9p6h
EMD-45403,2.9,9cat
EMD-45397,3.3,9can
EMD-50927,3.1,9g0a
EMD-47294,2.3,9dxp
EMD-47274,2.9,9dwy
EMD-61311,3.31,9jbe
EMD-45377,2.55,9c9z
EMD-39865,2.4,8z9o
EMD-48178,3.33,9mdr
EMD-65195,3.2,9vmx
EMD-61314,2.73,9jbh
EMD-52520,2.6,9hz5
EMD-45369,3.09,9c9s
EMD-52273,2.66,9hlw
EMD-64582,3.17,9uxe
EMD-52436,3.0,9hvk
EMD-62577,2.45,9kuf
EMD-52440,2.8,9hvo
EMD-45370,3.16,9c9t
EMD-49753,2.19,9nsv
EMD-61379,3.2,9jd3
EMD-64957,3.08,9vcl
EMD-48543,3.0,9mqx
EMD-64581,3.03,9uxd
EMD-52115,2.62,9hfl
EMD-48598,2.9,9mt2
EMD-62461,3.4,9knt
EMD-70269,2.66,9oa1
EMD-61312,3.21,9jbf
EMD-52624,2.8,9i52
EMD-52443,2.0,9hvq
EMD-45441,3.01,9ccd
EMD-52435,2.46,9hvi
EMD-38623,3.29,8xsn
EMD-47365,3.17,9e0p
EMD-46826,3.03,9dgh
EMD-61385,3.05,9jd9
EMD-47370,3.1,9e0t
EMD-45478,2.49,9cdj
EMD-62224,2.75,9kbg
EMD-47429,3.3,9e22
EMD-61411,3.4,9jea
EMD-49341,3.06,9nf0
EMD-50761,2.06,9fuc
EMD-47372,3.2,9e0w
EMD-45475,2.43,9cdg
EMD-48224,3.2,9mf5
EMD-52227,3.16,9hju
EMD-39866,2.5,8z9p
EMD-45476,1.95,9cdh
EMD-52652,2.7,9i6b
EMD-63398,2.66,9lum
EMD-50756,1.9,9fu4
EMD-49946,2.73,9nyy
EMD-46708,2.5,9daz
EMD-48507,3.37,9mpw
EMD-51308,2.85,9gf0
EMD-48835,2.7,9n2d
EMD-51515,2.36,9gqz
EMD-70121,3.18,9o52
EMD-45477,3.24,9cdi
EMD-51516,2.61,9gr0
EMD-61372,2.59,9jcq
EMD-50754,2.35,9fu3
EMD-49382,2.8,9ngc
EMD-47373,2.7,9e0x
EMD-49223,3.03,9nb9
EMD-42721,2.9,8uxb
EMD-48086,3.2,9eil
EMD-49340,3.47,9nez
EMD-62225,3.3,9kbh
EMD-47555,3.04,9e6c
EMD-70145,3.1,9o5o
EMD-50757,2.04,9fu7
EMD-50546,2.93,9fm1
EMD-43738,2.28,8w23
EMD-60744,3.46,9iol
EMD-47554,3.13,9e6b
EMD-63399,2.8,9lun
EMD-51514,2.8,9gqy
EMD-47342,3.1,9dzy
EMD-62226,3.43,9kbi
EMD-47556,3.28,9e6d
EMD-61339,2.79,9jc1
EMD-63401,2.8,9lup
EMD-49728,3.29,9nrc
EMD-52332,2.59,9hpk
EMD-61370,2.36,9jco
EMD-46714,2.3,9db3
EMD-46709,2.5,9db0
EMD-52226,3.26,9hjt
EMD-70120,3.4,9o51
EMD-52047,2.85,9hcf
EMD-52658,3.2,9i7p
EMD-50760,1.98,9fub
EMD-45474,2.39,9cdf
EMD-70122,3.3,9o53
EMD-70089,3.1,9o48
EMD-46739,2.7,9dbz
EMD-52327,2.9,9hpe
EMD-47360,3.2,9e0k
EMD-61371,2.55,9jcp
EMD-47371,3.4,9e0u
EMD-42495,3.0,8urm
EMD-50759,2.04,9fua
EMD-52660,3.2,9i7s
EMD-50758,2.24,9fu9
EMD-45490,3.41,9ce2
EMD-46778,2.8,9ddo
EMD-47377,3.4,9e0y
EMD-46710,3.2,9db1
EMD-46716,2.4,9dbe
EMD-42832,3.2,8uz3
EMD-48300,3.4,9mip
EMD-62413,3.11,9klq
EMD-62434,3.05,9kmi
EMD-50671,3.01,9fqw
EMD-62805,3.02,9l44
EMD-45282,2.78,9c7h
EMD-62411,2.81,9klo
EMD-50674,3.42,9fr0
EMD-50282,3.1,9fau
EMD-70842,2.11,9otn
EMD-64606,2.52,9uy3
EMD-50677,2.2,9fr1
EMD-64734,2.63,9v2n
EMD-63629,3.19,9m4t
EMD-49723,3.26,9nr6
EMD-70844,1.95,9otp
EMD-62410,2.55,9kln
EMD-45237,3.1,9c5y
EMD-50283,3.2,9fav
EMD-52079,3.15,9hek
EMD-50669,2.79,9fqu
EMD-39606,2.47,8yvl
EMD-50714,2.14,9frh
EMD-50712,2.19,9fre
EMD-70845,2.27,9otq
EMD-63628,2.99,9m4q
EMD-51434,3.2,9gl2
EMD-50277,2.8,9fap
EMD-47737,3.47,9e8z
EMD-50276,2.9,9fan
EMD-49572,2.13,9nnd
EMD-50670,2.95,9fqv
EMD-62437,3.11,9kml
EMD-42612,2.8,8uv9
EMD-63600,2.48,9m36
EMD-39556,2.95,8ys5
EMD-63651,2.53,9m5v
EMD-60582,2.33,8zyx
EMD-62435,3.1,9kmj
EMD-50284,2.9,9faw
EMD-50279,2.9,9far
EMD-39609,2.8,8yvn
EMD-50710,2.05,9frb
EMD-60660,3.1,9ikv
EMD-62436,3.06,9kmk
EMD-52573,2.51,9i1r
EMD-17636,2.6,8pet
EMD-39608,3.02,8yvm
EMD-60644,2.42,9ijv
EMD-70091,2.8,9o4a
EMD-52080,3.1,9hel
EMD-51939,2.67,9h8t
EMD-50274,2.6,9fak
EMD-48105,3.33,9ejm
EMD-50273,2.6,9faj
EMD-44897,3.48,9btv
EMD-52078,2.82,9hej
EMD-50278,2.9,9faq
EMD-62648,2.84,9kyo
EMD-70841,2.19,9otm
EMD-62412,2.87,9klp
EMD-39557,3.03,8ys6
EMD-42605,3.2,8uv4
EMD-64464,3.02,9ust
EMD-50713,2.41,9frf
EMD-50285,2.9,9fax
EMD-39605,3.09,8yvk
EMD-42613,2.8,8uva
EMD-62473,2.95,9kod
EMD-62438,3.3,9kmm
EMD-47739,3.31,9e91
EMD-47738,3.45,9e90
EMD-63631,2.62,9m4w
EMD-70843,2.03,9oto
EMD-63714,2.3,9m8m
EMD-48262,3.0,9mgw
EMD-62132,2.7,9k6q
EMD-19111,3.0,8rex
EMD-63872,2.66,9u5g
EMD-64062,2.9,9ud5
EMD-49413,3.04,9nhj
EMD-48264,2.8,9mgz
EMD-64063,2.65,9ud6
EMD-64061,3.31,9ud4
EMD-51881,3.4,9h59
EMD-61589,2.84,9jli
EMD-50598,2.0,9fnj
EMD-64518,3.17,9uuu
EMD-48266,2.1,9mh1
EMD-46998,3.46,9dm5
EMD-50639,2.4,9fpy
EMD-45738,3.06,9cm3
EMD-62134,2.8,9k6s
EMD-64066,2.61,9uda
EMD-50626,2.33,9fop
EMD-64069,3.18,9udg
EMD-64059,2.59,9ud2
EMD-60598,3.2,9iin
EMD-62659,2.78,9kzc
EMD-62133,2.7,9k6r
EMD-50588,2.21,9fnc
EMD-46976,2.85,9dlf
EMD-49745,3.3,9ns9
EMD-64065,3.11,9ud9
EMD-46978,3.4,9dlh
EMD-62135,2.8,9k6t
EMD-45732,3.19,9clw
EMD-51454,1.98,9gms
EMD-50616,2.47,9fo4
EMD-39540,2.64,8yrd
EMD-48265,2.9,9mh0
EMD-50644,2.5,9fq6
EMD-38391,2.85,8xiw
EMD-60591,3.27,9ii6
EMD-51455,1.93,9gmt
EMD-49412,3.1,9nhi
EMD-49411,3.0,9nhh
EMD-45743,3.29,9cm7
EMD-50631,2.31,9fox
EMD-64068,2.93,9udf
EMD-63792,3.31,9mc8
EMD-19877,3.0,9epc
EMD-63867,2.98,9u5a
EMD-63862,3.17,9u55
EMD-38859,2.66,8y2o
EMD-46579,3.05,9d5m
EMD-63741,3.31,9m9v
EMD-50971,3.2,9g2b
EMD-46918,2.9,9dit
EMD-61620,3.36,9jn9
EMD-50965,3.4,9g26
EMD-61606,2.8,9jmm
EMD-50970,3.3,9g29
EMD-63588,3.1,9m2p
EMD-50991,3.05,9g33
EMD-61740,3.0,9jqr
EMD-47972,3.04,9efg
EMD-60663,3.14,9ikz
EMD-63589,2.8,9m2q
EMD-49876,3.2,9nwe
EMD-46903,2.8,9dic
EMD-61604,3.4,9jmj
EMD-51157,1.8,9g9t
EMD-49213,3.0,9nb5
EMD-60477,3.16,8zu0
EMD-60034,2.69,8zej
EMD-50955,2.7,9g1v
EMD-50966,2.8,9g27
EMD-70240,2.96,9o93
EMD-47006,3.35,9dmi
EMD-63168,3.0,9lk5
EMD-70207,2.71,9o7s
EMD-63724,3.27,9m8y
EMD-62563,2.55,9ktr
EMD-63590,2.2,9m2r
EMD-62562,3.09,9ktl
EMD-60678,2.95,9im0
EMD-60061,2.9,8zfi
EMD-46939,3.4,9djv
EMD-50962,3.4,9g23
EMD-46574,3.15,9d55
EMD-45389,2.35,9caf
EMD-46901,3.1,9di8
EMD-49594,2.13,9no7
EMD-46581,2.99,9d5s
EMD-60679,2.88,9im1
EMD-61724,3.34,9jq6
EMD-46951,2.55,9dkc
EMD-47942,2.88,9eda
EMD-47834,2.76,9eak
EMD-46961,3.4,9dkl
EMD-49516,3.2,9nl3
EMD-45386,3.43,9cac
EMD-52048,2.91,9hcg
EMD-49515,3.2,9nl2
EMD-45388,3.07,9cae
EMD-45381,3.35,9ca7
EMD-46902,2.97,9dia
EMD-46956,2.6,9dkf
EMD-46950,2.74,9dkb
EMD-70217,3.13,9o85
EMD-60534,2.99,8zwo
EMD-60680,3.12,9im2
EMD-60522,1.83,8zwb
EMD-47968,3.36,9ef2
EMD-45387,3.05,9cad
EMD-49218,3.3,9nb6
EMD-46949,3.0,9dka
EMD-63167,3.1,9lk4
EMD-61736,3.26,9jqq
EMD-61732,3.34,9jqp
EMD-52049,2.85,9hch
EMD-50964,2.89,9g25
EMD-60677,2.95,9ilz
EMD-48141,2.67,9eky
EMD-48137,2.68,9eku
EMD-48143,2.45,9el0
EMD-48135,2.42,9eks
EMD-48140,2.6,9ekx
EMD-48138,2.75,9ekv
EMD-48142,2.61,9ekz
EMD-48144,2.61,9el1
EMD-61723,3.35,9jq5
EMD-61530,2.59,9jjk
EMD-38282,2.93,8xdn
EMD-44927,3.1,9bv1
EMD-44930,2.9,9bv3
EMD-44929,3.4,9bv2
EMD-61040,2.93,9izr
EMD-60447,2.35,8zt5
EMD-61722,2.91,9jq4
EMD-45040,2.31,9byo
EMD-45041,2.2,9byp
EMD-61947,3.14,9k0k
EMD-63823,2.65,9u3p
EMD-52348,2.52,9hqv
EMD-38801,2.61,8y02
EMD-60457,2.58,8zta
EMD-50545,3.0,9flz
EMD-61721,2.45,9jq3
EMD-50550,3.1,9fm9
EMD-61038,2.89,9izp
EMD-61041,2.84,9izs
EMD-45087,2.72,9c0k
EMD-49635,2.1,9npx
EMD-50347,3.4,9ff0
EMD-44952,3.3,9bw4
EMD-60445,2.31,8zt2
EMD-61958,2.83,9k0x
EMD-61398,3.4,9jds
EMD-60453,2.34,8zt8
EMD-61037,3.02,9izm
EMD-46686,3.4,9d9z
EMD-63325,2.84,9lrc
EMD-63324,2.77,9lrb
EMD-61039,3.06,9izq
EMD-49636,2.1,9npy
EMD-45042,2.2,9byq
EMD-64175,2.89,9uht
EMD-49637,2.1,9npz
EMD-60438,2.8,8zt1
EMD-51916,2.5,9h80
EMD-63326,3.23,9lrd
EMD-52551,2.2,9i05
EMD-38243,3.4,8xch
EMD-60458,2.63,8ztd
EMD-61986,2.65,9k20
EMD-60460,2.43,8ztf
EMD-70444,3.16,9ofv
EMD-63327,2.84,9lre
EMD-50433,3.16,9fgy
EMD-61582,3.0,9jlb
EMD-48152,2.82,9elk
EMD-52245,2.2,9hl6
EMD-52242,2.1,9hl3
EMD-50367,3.1,9ffn
EMD-50346,3.3,9fez
EMD-53225,2.8,9qle
EMD-61273,2.46,9j9i
EMD-50382,3.0,9fg2
EMD-51114,2.87,9g77
EMD-60345,3.12,8zpi
EMD-50372,3.2,9ffs
EMD-60860,2.9,9itf
EMD-50386,3.3,9fg6
EMD-50122,3.42,9f12
EMD-50371,3.1,9ffr
EMD-46962,3.4,9dkm
EMD-50396,3.3,9fgd
EMD-60853,1.99,9it0
EMD-50373,3.1,9fft
EMD-50394,3.4,9fgc
